end;AccountsPayableCurrent;AccruedIncomeTaxesCurrent;AccruedLiabilitiesCurrent;AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment;AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax;AccumulatedOtherComprehensiveIncomeLossNetOfTax;AdditionalPaidInCapitalCommonStock;AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue;Assets;AssetsCurrent;CashAndCashEquivalentsAtCarryingValue;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;CommonStockValue;ComprehensiveIncomeNetOfTax;ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest;ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest;ContractWithCustomerLiability;CostDirectMaterial;CostOfGoodsAndServicesSoldDepreciationAndAmortization;CostOfGoodsAndServicesSoldOverhead;CostOfGoodsSoldOverhead;CostOfRevenue;CostsAndExpenses;CrudeOilAndNaturalGasLiquids;DebtCurrent;DeferredIncomeTaxesAndTaxCredits;DeferredIncomeTaxLiabilitiesNet;DeferredTaxAssetsNetCurrent;DeferredTaxLiabilitiesCurrent;DeferredTaxLiabilitiesNoncurrent;DepreciationAmortizationAndAccretionNet;DepreciationAndAmortization;DepreciationDepletionAndAmortization;Dividends;ExcessOfReplacementOrCurrentCostsOverStatedLIFOValue;ExciseAndSalesTaxes;GeneralAndAdministrativeExpense;ImpairmentOfLongLivedAssetsHeldForUse;IncomeLossFromContinuingOperations;IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest;IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity;IncomeTaxExpenseBenefit;IncomeTaxesPaidNet;IncomeTaxesReceivable;IncreaseDecreaseInAccountsPayable;IncreaseDecreaseInAccruedIncomeTaxesPayable;IncreaseDecreaseInAccruedLiabilities;IncreaseDecreaseInInventories;IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet;IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets;IncreaseDecreaseInPropertyAndOtherTaxesPayable;IncreaseDecreaseInReceivables;IntangibleAssetsNetExcludingGoodwill;InterestCostsCapitalizedAdjustment;InterestCostsIncurred;InterestCostsIncurredCapitalized;InterestExpense;InterestPaidNet;InventoryCrudeOilProductsAndMerchandise;InventoryNet;InventoryRawMaterialsAndSupplies;InventoryWriteDown;LiabilitiesAndStockholdersEquity;LiabilitiesCurrent;LongTermDebt;LongTermDebtAndCapitalLeaseObligations;MinorityInterest;MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders;NetCashProvidedByUsedInFinancingActivities;NetCashProvidedByUsedInInvestingActivities;NetCashProvidedByUsedInOperatingActivities;NetIncomeLoss;NetIncomeLossAttributableToNoncontrollingInterest;NetIncomeLossAvailableToCommonStockholdersBasic;NetIncomeLossAvailableToCommonStockholdersDiluted;OciBeforeReclassificationsNetOfTaxAttributableToParent;OperatingCostsAndExpenses;OperatingIncomeLoss;OtherAssetsNoncurrent;OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax;OtherComprehensiveIncomeLossBeforeTax;OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTax;OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesBeforeTax;OtherComprehensiveIncomeLossNetOfTax;OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease;OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent;OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax;OtherComprehensiveIncomeLossTax;OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax;OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax;OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax;OtherCostAndExpenseOperating;OtherLiabilitiesNoncurrent;OtherNonoperatingIncomeExpense;ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic;ParticipatingSecuritiesDistributedAndUndistributedEarningsLossDiluted;PaymentsForProceedsFromOtherInvestingActivities;PaymentsForRepurchaseOfCommonStock;PaymentsOfDividendsCommonStock;PrepaidExpenseAndOtherAssetsCurrent;ProceedsFromPaymentsForOtherFinancingActivities;ProfitLoss;PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAccumulatedDepreciationAndAmortization;PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization;PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetBeforeAccumulatedDepreciationAndAmortization;PropertyPlantAndEquipmentGross;PropertyPlantAndEquipmentNet;ReceivablesNetCurrent;ReclassificationFromAociCurrentPeriodNetOfTaxAttributableToParent;RefiningAndMarketingCosts;RetainedEarningsAccumulatedDeficit;RevenueFromContractWithCustomerIncludingAssessedTax;SalesAndExciseTaxPayableCurrent;SellingExpense;StockholdersEquity;StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest;StockIssuedDuringPeriodValueShareBasedCompensation;TreasuryStockValue;TreasuryStockValueAcquiredCostMethod;WeightedAverageCostInventoryAmount;StockPrice
2008-06-30;;355865737.4493438;44728193.68903875;;;290760230.5928905;;;;;1644000000.0;1638328332.7848978;;248000000.0;;729000000.0;;;;1197856043.401497;68209473.16001686;;35482000000.0;;;169000000.0;1089831513.8296547;261761952.71525097;;6285573335.002144;378000000.0;12358681.329108847;369000000.0;;;146145165.48757684;117000000.0;;364000000.0;1090000000.0000014;-55000000.0;356000000.0;;;;;;430935525.4793456;;;;;175987505.02986842;;140427905.06538922;;107000000.0;85510503.57034881;3554239257.2675066;4964288352.112192;281661451.87997043;;;;-2132487536.723156;5536850337.536165;;5809892.535317942;914000000.0;-909000000.0;781000000.0;432882796.8501455;;419943983.2874715;420547117.05379313;;1133000000.0;1158000000.0;;;-44617909.74110288;;1082155.0608923547;-45207160.740034;-5000000.0;;;104838.79133645956;;-51000000.0;27000000.0;;4342180452.404832;15000000.0;12938813.562673071;12335679.796351863;-6000000.0;-133395307.84789872;77000000.0;105878259.6392585;-2000000.0;734000000.0;44489620415.79847;;17733855348.838135;32083454865.403435;32284439479.911716;;;33673000000.0;;47839486113.64879;1360387710.1614995;190000000.0;-10104168408.328878;-16223776385.769238;;-1503177243.4251642;3563512881.38266;;22.362600326538086
2008-09-30;5840000000.0;36000000.0;350000000.0;5404000000.0;;-115000000.0;7987000000.0;;37221000000.0;11173000000.0;2767000000.0;2828314954.466724;7000000.0;248000000.0;;1125000000.0;;;;1257436644.4340072;-850329775.1672885;;34120000000.0;;137000000.0;169000000.0;3495178365.23085;132000000.0;404000000.0;4105000000.0;378000000.0;12404874.885469835;370000000.0;;;202609020.33718872;169000000.0;;364000000.0;1795000000.0000038;-55000000.0;643000000.0;;27000000.0;;;;745442347.8735409;;;;;221000000.0;;101636115.05193184;;112000000.0;85330932.83917911;-7294706269.516457;4561000000.0;277958240.1326628;;37221000000.0;7324000000.0;27433786296.082943;7231000000.0;;7449793.613424217;914000000.0;-909000000.0;781000000.0;598234632.3313916;-655765.8380855769;576463687.0678532;577569505.8034322;;1136000000.0;1840000000.0;1543000000.0;;-61810464.92442558;;2797557.132164984;-62877595.96553778;-27000000.0;;;-887645.4523438169;;62000000.0;-34000000.0;;2154000000.0;36000000.0;21770945.263535105;20665126.52795734;-6000000.0;-274937275.51370335;77000000.0;164186044.8276198;-2000000.0;1152000000.0;2675539410.2683563;;54111834153.93106;29688000000.0;24284000000.0;4217000000.0;;32506000000.0;15384000000.0;158831364440.55637;1469414773.2584054;201000000.0;20455353316.53854;16407000000.0;;6856000000.0;-10934363009.024015;621999284.129619;16.52952003479004
2009-03-31;5840000000.0;36000000.0;350000000.0;5404000000.0;;-115000000.0;7987000000.0;;37221000000.0;11173000000.0;1715000000.0;1784520433.3998456;7000000.0;248000000.0;;496500000.0;;;;1002180094.756562;-850329775.1672885;;12735000000.0;;137000000.0;169000000.0;9255783156.872902;132000000.0;404000000.0;4105000000.0;378000000.0;12404874.885469835;350000000.0;;;259689790.48459864;145000000.0;;364000000.0;597000000.0;-55000000.0;148000000.0;;27000000.0;;;;61558111.81286883;;;;;221000000.0;;119978853.44833246;;119000000.0;85330932.83917911;-7294706269.516457;4561000000.0;277957350.8660689;;37221000000.0;7324000000.0;26537088651.60122;7231000000.0;;7449793.613424228;914000000.0;-909000000.0;781000000.0;298776017.0480924;-655765.8380855769;291846621.54386646;292107954.5606435;;845000000.0;593000000.0;1543000000.0;;-88380777.48046973;;5448633.06049541;-90186450.40495268;-61000000.0;;;-2421484.738031517;;60000000.0;-32000000.0;;2154000000.0;-1000000.0;6929395.504225025;6668062.487448313;-6000000.0;-317568571.93982816;77000000.0;164186044.82762134;-2000000.0;449000000.0;1499323855.7147522;;53078838774.61798;29688000000.0;24284000000.0;4217000000.0;;11204000000.0;15384000000.0;108359511763.61708;864028825.2626103;169000000.0;20439688307.52385;16407000000.0;;6856000000.0;-10593758849.13469;621999284.1296197;9.90669059753418
2009-06-30;5840000000.0;36000000.0;350000000.0;5404000000.0;;-115000000.0;7987000000.0;;37221000000.0;11173000000.0;1623000000.0;1693238022.8122478;7000000.0;-132000000.0;;-132000000.0;;;;1089499410.4092484;-947931217.8904498;;17568000000.0;;137000000.0;131000000.0;8306289925.618469;132000000.0;404000000.0;4105000000.0;372750000.0;12409783.285141988;361000000.0;;;249451767.5038662;122000000.0;0.0;-191000000.0;-362000000.0000008;-63000000.0;-108000000.0;;27000000.0;;;;93501036.34960487;;;;;221000000.0;;116276308.37996228;;118000000.0;85311852.14941552;-7327892313.143898;4561000000.0;277974738.10999733;;37221000000.0;7324000000.0;28310252165.689884;7231000000.0;;9074623.768986806;914500000.0;-895750000.0;831250000.0;-257486546.05794296;-655765.8380855769;-257240195.63877812;-257430553.20026067;;781000000.0;-192000000.0;1543000000.0;;54630022.453532666;;-8820393.259636011;56799442.60719231;122000000.0;;;5834179.652581693;-1289073.2512741785;3000000.0;-2000000.0;;2154000000.0;-23000000.0;-246350.41916477607;-55992.85768233994;-8250000.0;-342916910.3553617;64750000.0;161826582.83629203;-1250000.0;-254000000.0;1162474124.675888;;52652903852.79868;29688000000.0;24284000000.0;4217000000.0;;16014000000.0;15384000000.0;92554927153.61096;1000205013.8329028;171000000.0;20466982131.427208;16407000000.0;;6856000000.0;-9788930984.152985;621999284.1296194;9.415740966796875
2009-09-30;5756000000.0;64000000.0;633000000.0;5632000000.0;;68000000.0;7975000000.0;;36805000000.0;10865000000.0;1605000000.0;1676604850.8139138;7000000.0;-446000000.0;;-446000000.0;;;;1017517525.4139132;556652411.2824898;;18811000000.0;;213000000.0;93000000.0;8958266024.616745;150000000.0;424000000.0;3872000000.0;367500000.0;12334117.418059455;361000000.0;;;214601080.7550931;167000000.0;0.0;-343000000.0;-647000000.0000004;-286000000.0;-18000000.0;839000000.0;81000000.0;155000000.0;-70000000.0;-47000000.0;-168000000.0;;-32000000.0;;189000000.0;229000000.0;;139500541.67369473;;150000000.0;56000000.0;-7291945992.450088;4576000000.0;273679218.17919385;;36805000000.0;7757000000.0;28537942439.7504;7162000000.0;;9292142.5261705;915000000.0;-882500000.0;881500000.0;-667513522.0482395;-1748354.6846139468;-665280214.0649352;-665673075.5390692;;1013000000.0;-238000000.0;1480000000.0;;102300289.09820016;;-13576735.366346482;105794740.27790733;183000000.0;;;8586067.782786096;-1289073.2512741778;24000000.0;-12000000.0;;2124000000.0;8000000.0;-2233307.983304121;-1840446.5091703332;-10500000.0;1000000.0;52500000.0;146023359.88535988;-500000.0;-629000000.0;1696638137.7376556;30289275343.237957;24844109583.356667;29863000000.0;24231000000.0;3923000000.0;;17212000000.0;14670000000.0;76791218659.87846;1015882975.8367451;182000000.0;14666000000.0;15890000000.0;;6830000000.0;2910925991.115177;602302154.0289568;10.897692680358887
2009-12-31;5871000000.0;43000000.0;567500000.0;5741500000.0;;250000000.0;7927000000.0;;36635000000.0;11092500000.0;1746000000.0;1822003561.8685253;7000000.0;-246000000.0;0.0;-167000000.0;;;;1019543500.5469784;1435729679.0954895;;18650000000.0;2572000000.0;424000000.0;55000000.0;10684822215.185144;162500000.0;305000000.0;4001500000.0;362250000.0;12289908.414045382;350500000.0;;4300000000.0;225000000.0;132000000.0;0.0;-211500000.0;788000000.0;-149000000.0;-25000000.0;839000000.0;69500000.0;155000000.0;-70000000.0;-47000000.0;-168000000.0;;-32000000.0;;189000000.0;227500000.0;;134140389.07765484;22000000.0;148500000.0;56000000.0;1719000000.0;4650000000.0;193000000.0;;36635000000.0;7926000000.0;29880093511.260567;7440000000.0;;8749188.182244213;915500000.0;-869250000.0;931750000.0;-223205772.27626404;0.0;-223588129.77375144;-223375654.3469701;;962500000.0;-297970588.2352941;1532000000.0;;56974461.79671304;;-9054311.723900456;59209047.410670094;125000000.0;;;5969518.413083549;-1289073.2512741785;11500000.0;-5500000.0;;1989500000.0;9500000.0;382357.4976527683;169882.07055197054;-12750000.0;1000000.0;40250000.0;137332594.21569288;250000.0;-662088235.2941177;1983904131.8841856;30289275343.23795;23126996362.838387;29524500000.0;23783000000.0;3935000000.0;;17134000000.0;13853000000.0;63772965533.05104;1002170638.0978384;167000000.0;14666000000.0;15610333333.333334;;6759000000.0;4875498758.820864;605528511.533242;9.494311332702637
2010-03-31;5986000000.0;22000000.0;502000000.0;5851000000.0;28000000.0;432000000.0;7879000000.0;;36465000000.0;11320000000.0;1887000000.0;1967402272.9231367;7000000.0;-46000000.0;0.0;112000000.0;;;;1021569475.6800436;2351652763.9017067;;18489000000.0;2572000000.0;635000000.0;17000000.0;12411378405.753548;175000000.0;186000000.0;4131000000.0;357000000.0;12243846.425167529;340000000.0;;4300000000.0;225000000.0;97000000.0;0.0;-80000000.0;788000000.0;-12000000.0;-32000000.0;839000000.0;58000000.0;155000000.0;-70000000.0;-47000000.0;-168000000.0;;-32000000.0;;189000000.0;226000000.0;;128780236.48161498;22000000.0;147000000.0;56000000.0;1719000000.0;4724000000.0;193000000.0;;36465000000.0;8095000000.0;31222244582.770737;7718000000.0;;8206233.838317925;916000000.0;-856000000.0;982000000.0;-296656769.435486;0.0;-297669843.2437674;-297473510.86120945;;912000000.0;-357941176.4705882;1584000000.0;;11648634.495225936;;-4531888.081454434;12623354.54343288;67000000.0;;;3352969.043381001;-1289073.2512741787;-1000000.0;1000000.0;;1855000000.0;11000000.0;1013073.8084511622;816741.425565189;-15000000.0;1000000.0;28000000.0;128641828.54603016;1000000.0;-695176470.5882353;2970471067.6513824;30289275343.23795;22778515305.34565;29186000000.0;23335000000.0;3947000000.0;;17056000000.0;13036000000.0;65951191388.21752;988458300.3589352;152000000.0;14666000000.0;15330666666.666666;;6688000000.0;4350101656.09697;608754869.0375261;11.197553634643555
2010-06-30;5856000000.0;237000000.0;440000000.0;6076000000.0;28000000.0;240000000.0;7833000000.0;12000000.0;36477000000.0;11348000000.0;2001000000.0;2085582330.3449152;7000000.0;391000000.0;0.0;391000000.0;;;;1071945010.666422;2391223549.788761;;19657000000.0;2572000000.0;523000000.0;-3333333.333333332;12510839035.875725;171000000.0;184000000.0;4270000000.0;359666666.6666667;12241856.400972642;350000000.0;;4300000000.0;225000000.0;131000000.0;0.0;520000000.0;788000000.0;63000000.0;268000000.0;560333333.3333333;79000000.0;817666666.6666666;-14333333.333333336;26666666.66666667;-319333333.3333334;;-24666666.666666668;;545333333.3333333;223000000.0;;121993982.87211128;22000000.0;138000000.0;63000000.0;1719000000.0;4767000000.0;193000000.0;;36477000000.0;7914000000.0;32442984406.53889;7511000000.0;;6500211.757593039;440000000.0;-831666666.6666666;1340666666.6666667;-345860922.2424623;0.0;-323114791.1605372;-325296296.94422174;;847000000.0;-417911764.7058824;1543000000.0;;-190754628.7993458;;15663072.666709702;-195405860.15681607;-192000000.0;;;-8331277.279945891;-1289073.2512741787;0.0;0.0;;1731000000.0;1000000.0;-22746131.08195956;-20564625.29891478;-7000000.0;666666.6666666667;28000000.0;123486608.22658348;2333333.333333333;-728264705.882353;3188556138.3195496;30323715319.893253;29656832782.79952;29439000000.0;23363000000.0;4122000000.0;;18227000000.0;13591000000.0;-20566587798.14894;1027211495.271586;163000000.0;15051000000.0;15051000000.0;;6620000000.0;0.0;588648041.0789925;10.245345115661621
2010-09-30;6096000000.0;74000000.0;548000000.0;6340000000.0;28000000.0;314000000.0;7839000000.0;12000000.0;37276000000.0;11877000000.0;2352000000.0;2434294261.7657247;7000000.0;366000000.0;0.0;366000000.0;;;;1020246133.49236;2537549925.881972;;20425000000.0;2650000000.0;523000000.0;-23666666.666666664;12328675711.193954;184000000.0;322000000.0;4430000000.0;362333333.3333333;12234497.612860462;353000000.0;;4900000000.0;234000000.0;139000000.0;0.0;303000000.0;488000000.0;-11000000.0;185000000.0;281666666.6666666;100000000.0;1480333333.3333333;41333333.33333333;100333333.33333334;-470666666.6666667;;-17333333.333333336;;901666666.6666666;224000000.0;;130373401.44222228;25000000.0;145000000.0;70000000.0;1715000000.0;4804000000.0;198000000.0;;37276000000.0;8213000000.0;7588000000.0;7513000000.0;10000000.0;6971214.763930993;-36000000.0;-807333333.3333334;1699333333.3333335;-463343466.7525778;0.0;-443643915.5195651;-445487305.7860047;;1105000000.0;-477882352.9411765;1585000000.0;21131239.023707945;19000000.0;-5000619.601952685;0.0;19000000.0;74000000.0;-52621120.22321383;-4554920.184919702;0.0;0.0;0.0;0.0;;1720000000.0;17000000.0;-19699551.23304241;-17856160.96714804;1000000.0;333333.3333333334;28000000.0;162000000.0;3666666.6666666665;-761352941.1764706;3489852997.822769;30358155296.54855;30278617482.530083;29930000000.0;23590000000.0;4240000000.0;;18915000000.0;13855000000.0;-17071082438.206957;1036902889.7500744;169000000.0;15400000000.0;15400000000.0;;6615000000.0;0.0;623569284.2628558;10.007221221923828
2011-03-31;8653000000.0;55000000.0;729000000.0;6509000000.0;0.0;479000000.0;7641000000.0;12000000.0;39592000000.0;15056000000.0;4133000000.0;4200094474.6497774;7000000.0;189000000.0;-500000.0;189000000.0;;;;1105681661.4482188;2883536577.284851;;26064000000.0;2810000000.0;312000000.0;-44000000.0;12898915677.934708;262000000.0;140000000.0;4693000000.0;365000000.0;12217097.862211991;365000000.0;;8500000000.0;214000000.0;130000000.0;0.0;104000000.0;144000000.0;-6000000.0;40000000.0;3000000.0;316000000.0;2143000000.0;97000000.0;174000000.0;-622000000.0;;-10000000.0;;1258000000.0;225000000.0;;121695855.50976124;27000000.0;144000000.0;77000000.0;988000000.0;4338000000.0;190000000.0;;39592000000.0;10406000000.0;7588000000.0;7517000000.0;10000000.0;6568065.844146966;-512000000.0;-783000000.0;2058000000.0;47424294.04997333;0.0;48922926.674858384;48732962.32127569;-317494947.494478;1103384615.3846154;;1416000000.0;-278000000.0;19000000.0;-5000619.601952685;0.0;19000000.0;91000000.0;-304058605.38979435;2000000.0;0.0;0.0;0.0;0.0;;1752000000.0;17000000.0;-1498632.6248849805;-1308668.2713023035;9000000.0;0.0;28000000.0;162000000.0;5000000.0;104142004.29397832;5507036125.721054;30392595273.20385;31974970747.04395;29404000000.0;22895000000.0;5858000000.0;;24568000000.0;13458000000.0;44215652191.195724;1129183751.0166285;162000000.0;15224000000.0;15224000000.0;;6361000000.0;0.0;837840909.9956893;17.115942001342773
2011-06-30;7642000000.0;82000000.0;765000000.0;6660000000.0;0.0;498000000.0;7616000000.0;11333333.333333334;39526000000.0;14687000000.0;4107000000.0;4174787843.686891;7000000.0;763000000.0;-1000000.0;762000000.0;;;;1181619891.063614;2751595462.301235;;30003000000.0;2188000000.0;861000000.0;-9000000.0;10892616723.72583;285000000.0;254000000.0;4801000000.0;371333333.3333333;12223733.212135715;386000000.0;;7900000000.0;227000000.0;151000000.0;0.0;745000000.0;1193000000.0;-1000000.0;449000000.0;49333333.333333336;118000000.0;1565333333.3333335;32666666.666666664;82666666.66666667;-257666666.6666667;0.0;-8666666.666666666;9000000.0;452333333.3333334;222000000.0;;112554579.29227792;33000000.0;129000000.0;66333333.333333336;1314000000.0;3988000000.0;195000000.0;;39526000000.0;10231000000.0;7588000000.0;6762000000.0;10000000.0;4400791.607582605;-447666666.6666667;-760000000.0;1886666666.6666667;856898759.6600206;-1000000.0;852434931.0688353;851891174.7565659;-317494947.494478;1101769230.7692308;;1411000000.0;-278000000.0;19000000.0;-5000619.601952685;0.0;19000000.0;19000000.0;-304058605.38979435;2000000.0;0.0;0.0;0.0;0.0;;1740000000.0;10000000.0;4463828.591184851;5007584.903454634;2666666.666666667;35333333.333333336;46333333.33333333;162000000.0;3333333.333333333;744874845.877346;5515515619.328796;30398857087.14117;32560345320.128506;29866000000.0;23206000000.0;6027000000.0;;28380000000.0;14173000000.0;-53492994807.73619;1228361365.6610284;169000000.0;15982000000.0;15992000000.0;;6312000000.0;31666666.666666668;704762369.4500576;14.704107284545898
